LK0001|2a2b3bb7ed95|我国现行法律体系中专门针对无线电管理的最高法律文件及其立法机关是：|D|||中华人民共和国业余无线电台管理办法，工业和信息化部|中华人民共和国无线电管理办法，工业和信息化部|中华人民共和国电信条例，国务院|中华人民共和国无线电管理条例，国务院和中央军委
LK0002|299e9aca98e0|我国现行法律体系中专门针对业余无线电台管理的最高法律文件及其立法机关是：|A|||业余无线电台管理办法，工业和信息化部|中华人民共和国电信条例，国务院|个人业余无线电台管理暂行办法，国家体委和国家无委|业余无线电台管理暂行规定，国家体委和国家无委
LK0003|52bfd2fadd67|我国的无线电主管部门是：|A|||各级无线电管理机构|各级体育管理机构|各地电信管理局|各地业余无线电协会
LK0004|e34bf087a2c7|我国依法负责对业余无线电台实施监督管理的机构是：|B|||在国家或地方民政部门注册的业余无线电协会|国家无线电管理机构和地方无线电管理机构|国家和地方公安部门|国家体育管理机构和地方体育管理机构
LK0005|5c26e68614c3|《业余无线电台管理办法》所说的“地方无线电管理机构”指的是：|D|||地方业余无线电协会或者类似组织机构|各地方与无线电设备生产销售和无线电应用有关的行政管理机构|地市县（区）及以下各级无线电管理机构|省、自治区、直辖市无线电管理机构
LK0011|ee9bdb65212a|国家鼓励和支持业余无线电台开展下列活动：|B|||休闲娱乐性交谈|无线电通信技术研究、普及活动以及突发重大自然灾害等紧急情况下的应急通信活动|机动车辆行车服务性通信活动|作为日常公益活动的通信工具
LK0012|cfe734b1602e|关于业余电台管理的正确说法是：|B|||在业余电台与其他业务电台遇到干扰纠纷时无条件优先保护其他业务电台|依法设置的业余无线电台受国家法律保护|业余无线电爱好者的一切行为都受国家法律保护|通过法律手段限制业余无线电台的设置
LK0104|b571c52a0ba8|无线电频率的使用必须得到各级无线电管理机构的批准，基本依据是“无线电频谱资源属于国家所有”，出自于下列法律：|D|||中华人民共和国刑法|中华人民共和国民法通则|中华人民共和国电信法|中华人民共和国物权法
LK0007|941336a8f47f|我国对无线电管理术语“业余业务”、“卫星业余业务”和“业余无线电台”做出具体定义的法规文件是|A|||中华人民共和国无线电频率划分规定|中华人民共和国无线电管理条例|无线电台执照管理规定|中华人民共和国电信条例
LK0008|39c5eb22bb0e|业余电台的法定用途为：|A|||供业余无线电爱好者进行自我训练、相互通信和技术研究|供公民在业余时间进行与个人生活事务有关的通信|供公民在业余时间进行休闲娱乐|供私家车主或者相应组织作为行车安全保障和途中消遣工具
LK0111|81f69ffdba2f|无线电业余业务是供业余无线电爱好者作下列用途的无线电通信业务：|D|||娱乐休闲、报告路况和公益服务|技术教学、民兵训练和公益通信|救灾抢险、车队联络和技术学习|自我训练、相互通信和技术研究
LK0009|0ba975dc7ef7|业余无线电台供下列人群设置和使用：|A|||业余无线电爱好者，即经正式批准的、对无线电技术有兴趣的人，其兴趣纯系个人爱好而不涉及谋取利润|对用无线电台解决日常通信有实际需求的任何公民、社团和单位|对无线电技术不感兴趣，但希望把业余无线电台用于业余消遣的公民|业余无线电爱好者，即任何对无线电技术有兴趣的人
LK0051|3de989725e3d|“我不是业余无线电爱好者，申请设置业余电台只是为了行车方便，不需要遵守业余无线电的规范”。这种说法：|C|||有一定道理，既然行车通信有需求，法规管理应该迎合个人需求|很难说对错，业余电台的定义可以因人而异|是错误的，也是不具备“熟悉无线电管理规定”设台条件的表现|有一定道理，只要是遵守规定，业余电台也可以为非业余无线电爱好者所用
LK0052|87b5f3c8e3e9|个人提出设置使用业余无线电台申请，就是表示自己对无线电技术发生了兴趣，确认了自己在有关业余无线电台活动中的身份是：|C|||其他职业人员，但不是业余无线电爱好者|汽车俱乐部会员，但不是业余无线电爱好者|业余无线电爱好者，但可以是正在起步的初学者|旅游爱好者，但不是业余无线电爱好者
LK0112|cd8d9fbcd981|符合业余无线电爱好者基本条件的人群是：|A|||对无线电技术有兴趣并经无线电管理机构批准设置使用业余无线电台的人|拥有较高无线电技术水平并加入业余无线电协会的人|任何对无线电技术有兴趣的公民|对无线电技术有兴趣并加入业余无线电协会的人
